2501		0		1200		1632		928		1744		
2501		1		1568		2160		1600		1520		
2501		2		864		1536		976		1696		
2501		3		784		1376		1296		50092		
2502		0		1200		1600		1616		2064		
2502		1		1568		1936		1520		1856		
2502		2		880		1568		864		1872		
2502		3		768		1344		720		49628		
2503		0		1184		1600		1408		2080		
2503		1		1568		1920		1600		1472		
2503		2		864		1568		960		1696		
2503		3		448		1376		1008		50540		
2504		0		1200		1616		896		2064		
2504		1		1584		1920		1232		1488		
2504		2		864		1264		976		1728		
2504		3		480		1360		736		50844		
2505		0		1200		1600		1360		1776		
2505		1		1584		2160		1600		1488		
2505		2		880		1568		896		1760		
2505		3		768		1376		688		50492		
2506		0		1200		1616		976		1760		
2506		1		1552		2160		1904		1792		
2506		2		880		1568		672		1664		
2506		3		784		1360		992		50796		
2507		0		1216		1616		992		1744		
2507		1		1552		1920		1904		1792		
2507		2		848		1536		672		1872		
2507		3		480		1360		1296		51484		
2508		0		1232		1584		1648		2080		
2508		1		1568		2160		1904		1520		
2508		2		848		1536		976		1664		
2508		3		480		1344		1296		51468		
2509		0		1232		1600		1344		2064		
2509		1		1568		2144		1568		1424		
2509		2		848		1552		1008		1888		
2509		3		784		1360		1104		50972		
2510		0		1232		1616		976		1712		
2510		1		1536		2144		1536		1456		
2510		2		880		1248		928		1904		
2510		3		768		1360		1120		49852		
2511		0		1232		1600		976		1760		
2511		1		1584		2144		1584		1472		
2511		2		832		1568		928		1664		
2511		3		768		1360		1280		50044		
2512		0		1232		1600		976		1744		
2512		1		1536		2160		1216		1456		
2512		2		864		1536		704		1696		
2512		3		480		1360		656		49484		
2513		0		1216		1584		1328		1760		
2513		1		1568		2144		1568		1504		
2513		2		864		1536		1040		1712		
2513		3		768		1376		640		48651		
2514		0		1216		1600		1616		2080		
2514		1		1552		2128		1520		1840		
2514		2		864		1552		848		1872		
2514		3		480		1344		1312		47563		
2515		0		1200		1600		1408		2064		
2515		1		1552		2144		1888		1824		
2515		2		848		1552		672		1680		
2515		3		496		1344		1312		46699		
2516		0		1184		1600		1408		2064		
2516		1		1536		2128		1904		1520		
2516		2		832		1552		1056		1728		
2516		3		480		1344		800		45451		
2517		0		1216		1600		992		1760		
2517		1		1248		2144		1904		1504		
2517		2		880		1552		928		1712		
2517		3		464		1328		736		44762		
2518		0		1184		1584		1648		2064		
2518		1		1264		2160		1904		1792		
2518		2		848		1552		1056		1728		
2518		3		480		1360		640		43962		
2519		0		1184		1600		1152		2048		
2519		1		1552		2160		1600		1488		
2519		2		864		1568		928		1760		
2519		3		496		1344		640		42554		
2520		0		1216		1584		1600		2112		
2520		1		1568		2144		1392		1488		
2520		2		848		1552		1024		1728		
2520		3		480		1312		832		40201		
2521		0		1200		1584		1632		2064		
2521		1		1552		2144		1680		1504		
2521		2		864		1552		1056		1696		
2521		3		416		1008		640		36312		
2522		0		1184		1584		1424		2048		
2522		1		1552		2144		1664		1488		
2522		2		864		1568		1008		1664		
2522		3		608		976		928		33432		
2523		0		1184		1600		1616		2064		
2523		1		1568		2160		1248		1440		
2523		2		848		1552		704		1856		
2523		3		608		960		896		30199		
2524		0		1184		1600		1648		2048		
2524		1		1552		2160		1664		1504		
2524		2		848		1568		992		1872		
2524		3		560		928		1120		25606		
2525		0		1152		1584		1648		2048		
2525		1		1568		2144		1904		1488		
2525		2		864		1552		992		1888		
2525		3		560		912		1088		21349		
2526		0		1200		1584		1616		2080		
2526		1		1616		1920		1552		1440		
2526		2		864		1584		896		1824		
2526		3		528		1136		608		16676		
2527		0		1216		1616		1312		1744		
2527		1		1568		1920		1664		1456		
2527		2		656		1408		880		1440		
2527		3		240		1056		448		6913		
2528		0		1200		1616		1328		1728		
2528		1		1568		1936		1824		1648		
2528		2		672		1440		704		992		
2528		3		208		752		448		1456		
2529		0		1152		1648		960		1888		
2529		1		1168		1984		1904		1200		
2529		2		880		1488		1344		1104		
2529		3		160		752		624		1040		
2530		0		1152		1616		1600		1712		
2530		1		1568		1984		1584		1344		
2530		2		672		1456		1088		1104		
2530		3		160		1040		592		720		
2531		0		1200		1632		1280		1856		
2531		1		1568		1984		2048		1168		
2531		2		656		1488		1008		928		
2531		3		192		1040		688		880		
2532		0		1200		1632		1152		1888		
2532		1		1600		2032		2048		1168		
2532		2		640		1488		1152		1120		
2532		3		192		1040		864		800		
2533		0		1184		1632		1152		1888		
2533		1		1600		2032		2048		1168		
2533		2		656		1488		1168		1104		
2533		3		176		1056		688		784		
2534		0		1184		1632		1216		1680		
2534		1		1616		2032		1488		1344		
2534		2		672		1488		1296		912		
2534		3		192		1056		224		848		
2535		0		1232		1648		1312		1872		
2535		1		1616		2016		1904		1216		
2535		2		688		1792		1184		1088		
2535		3		192		1056		720		784		
2536		0		1200		1648		1600		1728		
2536		1		1616		2000		1664		1200		
2536		2		688		1520		688		1072		
2536		3		208		1040		656		768		
2537		0		1200		1408		1312		1872		
2537		1		1632		2032		2048		1392		
2537		2		672		1504		1376		1072		
2537		3		208		1040		240		448		
2538		0		1184		1408		1312		1872		
2538		1		1616		2032		2048		1184		
2538		2		672		1792		1168		1072		
2538		3		192		1040		704		432		
2539		0		1168		1632		1168		1664		
2539		1		1600		2032		2112		1152		
2539		2		672		1504		1120		1056		
2539		3		208		1088		656		448		
2540		0		1200		1648		1472		1712		
2540		1		1616		2016		1504		1360		
2540		2		672		1504		1296		1136		
2540		3		224		1056		688		464		
2541		0		1184		1648		1488		1664		
2541		1		1616		2016		1520		1344		
2541		2		656		1520		1200		1072		
2541		3		208		1040		416		400		
2542		0		1184		1408		1488		1680		
2542		1		1632		2032		1648		1376		
2542		2		656		1504		1200		736		
2542		3		192		1040		512		384		
2543		0		1184		1632		1184		1904		
2543		1		1616		2032		2048		1360		
2543		2		656		1520		1344		1040		
2543		3		208		1040		672		448		
2544		0		1200		1648		1520		1680		
2544		1		1616		2032		1488		1312		
2544		2		672		1824		1168		1024		
2544		3		176		736		656		416		
2545		0		1216		1632		1200		1888		
2545		1		1632		2032		1504		1360		
2545		2		752		1488		1168		1072		
2545		3		144		1056		704		416		
2546		0		1184		1408		1456		1696		
2546		1		1616		2032		1520		1344		
2546		2		672		1520		1200		1056		
2546		3		192		1056		704		400		
2547		0		1184		1648		1184		1904		
2547		1		1600		2304		2096		1392		
2547		2		672		1504		896		752		
2547		3		208		1072		720		400		
2548		0		1184		1648		1488		1696		
2548		1		1632		2032		2128		1376		
2548		2		688		1520		1184		1040		
2548		3		192		1056		704		400		
2549		0		1200		1648		1504		1904		
2549		1		1648		2016		1792		1312		
2549		2		688		1504		1216		1040		
2549		3		208		1072		704		400		
2550		0		1184		1648		1456		1712		
2550		1		1648		2304		1808		1328		
2550		2		672		1520		1152		1056		
2550		3		208		1056		416		608		
2551		0		1184		1648		1472		1728		
2551		1		1408		2320		1440		1312		
2551		2		672		1792		1184		1072		
2551		3		208		1040		432		592		
2552		0		1200		1632		1488		1696		
2552		1		1616		2304		2112		1392		
2552		2		672		1504		1216		1072		
2552		3		192		1056		880		400		
2553		0		1200		1648		1168		1888		
2553		1		1616		2032		2112		1152		
2553		2		672		1520		1200		1072		
2553		3		208		1040		720		624		
2554		0		1200		1408		1488		1696		
2554		1		1600		2032		2112		1360		
2554		2		672		1520		1184		1040		
2554		3		224		1040		720		384		
2555		0		1184		1632		1616		1776		
2555		1		1632		2032		1792		1312		
2555		2		656		1520		1184		1024		
2555		3		208		1040		720		592		
2556		0		1200		1648		1600		1760		
2556		1		1632		2032		2080		1360		
2556		2		704		1792		1168		1024		
2556		3		192		1040		704		624		
2557		0		1232		1424		1472		1696		
2557		1		1632		2016		2064		1376		
2557		2		688		1520		1120		1024		
2557		3		208		1040		704		624		
2558		0		1200		1408		1472		1696		
2558		1		1408		2032		2080		1376		
2558		2		688		1520		1168		736		
2558		3		208		1040		880		608		
2559		0		1232		1424		1312		1904		
2559		1		1632		2032		2064		1344		
2559		2		688		1520		1296		1024		
2559		3		192		752		432		560		
2560		0		1216		1408		1504		1888		
2560		1		1648		2032		2048		1360		
2560		2		688		1792		1104		720		
2560		3		208		1024		720		576		
2561		0		1216		1408		1456		1904		
2561		1		1632		2320		2064		1312		
2561		2		720		1488		1120		704		
2561		3		224		1024		400		544		
2562		0		1184		1616		1472		1696		
2562		1		1408		2000		2048		1392		
