626		0		65391		992		928		912		912		1120		912		912		992		1136		1280		1120		1136		912		928		224		
626		1		64735		34504		21141		18100		20693		20052		21013		20068		19012		21253		22389		18948		21413		19940		20260		14035		
626		2		64895		36360		23829		22165		24774		25270		24149		25942		24213		24726		28983		22917		25174		22277		22965		15155		
626		3		64751		28070		20164		20661		23365		22373		19428		20276		20773		21957		22357		20405		21557		20485		21381		12947		
626		4		64719		28599		20389		21637		22549		21221		18868		19540		19908		21589		21781		20901		22261		20052		21413		13107		
626		5		65055		23685		16676		19284		18180		17972		16388		16628		17156		17252		18884		19268		19204		17204		17620		11746		
626		6		65103		22565		17716		18660		18068		18244		16308		17156		16292		17940		18772		19492		19636		17204		18356		14003		
626		7		65151		20517		15715		16900		16548		16852		16836		14547		14371		15043		15987		17348		18180		16115		17108		12947		
626		8		65055		24662		18788		21701		20853		22181		22197		18660		17364		18436		18116		20565		20260		18628		20709		13907		
626		9		64767		24133		17892		19620		19716		20469		19156		18372		18324		17236		17796		19588		20228		17348		19332		12643		
626		10		64767		23317		19524		18132		18580		20517		18404		17764		17604		17668		18660		19908		20789		16372		20052		12835		
626		11		65087		23381		19268		17604		18052		17812		17332		16932		18532		19780		19588		20917		24037		18772		19348		14467		
626		12		65039		23093		17732		16067		16708		16788		15939		15747		17492		17716		17668		17300		19092		18068		17348		16388		
626		13		64751		25542		17876		17028		17524		18532		17316		17396		17476		18132		18564		17732		19844		18324		18212		17748		
626		14		65055		31271		21925		20100		19700		22309		19316		20357		18660		20308		21557		19508		21237		21157		20212		19316		
626		15		65055		35416		23365		19140		20933		21077		19700		19252		19172		18100		20308		17876		20244		20004		19684		19156		
627		0		65327		896		944		928		928		912		976		1120		960		1088		1008		928		896		896		1120		512		
627		1		64719		34536		21173		18084		20997		20036		21013		19892		18884		21253		22293		18676		21621		19860		19956		14067		
627		2		64719		36232		23541		22165		24790		25270		24165		25942		24213		24806		28999		22757		25126		22277		22997		15171		
627		3		64703		28070		20148		20645		23365		22165		19732		20292		20773		22101		22325		20469		21557		20212		21445		13011		
627		4		65071		28631		20405		21637		22197		21173		18900		19492		19908		21221		21493		20981		22533		20068		21621		12787		
627		5		65039		23797		16692		19092		17876		17988		16388		16612		16884		17028		18820		18900		19204		17188		17588		12082		
627		6		65055		22197		17732		18580		18068		18228		16356		17172		16692		17540		18372		19476		19588		17220		18372		13987		
627		7		65055		20533		15491		16900		16548		16804		16788		14515		14355		15395		15859		17300		18180		16067		17124		12963		
627		8		64703		24694		18788		21653		20693		22181		22165		18628		17332		18084		18116		20421		19924		18596		20677		13859		
627		9		64767		24149		17844		19652		19796		20437		19156		18372		18340		17252		17812		19636		20228		17348		19540		12611		
627		10		64767		23029		19572		18132		18660		20533		18404		17732		17604		17700		18644		20260		20837		16644		19860		12835		
627		11		64751		23397		19284		17588		18292		17972		17300		16628		18356		19588		19636		21061		24341		18708		19572		14707		
627		12		29438		8026		17733		17471		45889		5186		21566		29502		45892		54341		1092		62532		42059		33863		37956		42048		
627		13		1021		65380		22086		50243		33860		21576		9284		37957		5188		25672		17481		37957		37966		37960		29767		13381		
627		14		64703		30935		21941		20164		19988		22389		19108		20565		18788		19956		21573		19364		21573		21141		20533		19316		
627		15		65055		35432		23349		19124		20981		21077		19972		19284		19460		18244		19892		17828		20244		20004		19652		19524		
628		0		65359		944		928		1136		1120		928		928		1024		1136		1104		960		928		1136		896		1136		224		
628		1		64719		34488		21157		18100		20677		19700		20725		19876		19044		21285		22293		18948		21445		19876		19940		14051		
628		2		64671		36376		23477		22389		24790		25238		23941		25974		24245		24934		29047		23077		25158		22325		22997		15155		
628		3		64751		28134		20180		20661		23365		22389		19748		20244		20405		21925		22309		20437		21573		20485		21429		12995		
628		4		64687		28599		20453		21717		22245		21173		18884		19476		19956		21221		21813		21253		22261		20084		21445		12771		
628		5		65039		23909		16644		19252		17828		17988		16115		16612		17220		17204		18836		18916		19268		17188		17572		11714		
628		6		65151		22245		17732		18660		18276		18260		16324		17156		16260		17636		18692		19460		19652		17204		18356		14035		
628		7		65071		20501		15731		16948		16564		16884		16804		14883		14051		15219		15843		17476		17876		16083		17108		13027		
628		8		64719		24646		18740		21749		20853		22181		22197		18596		17316		18276		18292		20533		19956		18612		20677		13827		
628		9		65055		24101		17844		19620		19748		20437		19188		18420		18308		17188		17812		19780		19940		17332		19572		12627		
628		10		64751		23365		19332		18164		18580		20196		18404		17540		17620		17668		18948		19956		20821		16340		20068		12803		
628		11		64735		23381		19204		17572		18068		18004		17316		16948		18692		19812		19828		21061		24325		18724		19348		14467		
628		12		65071		23077		17668		16051		16372		16980		15971		15987		17380		17716		17396		17380		19076		18260		17524		16436		
